,author_id,id,text,created_at,Keyword,geo
41,1242510628473966592,1449713650688827393,"2 Million investors
With the largest cloud mining company in the world
earn money daily forever
Get Bonus 30% ⬇️
https://t.co/htaQf9zreG

$kync $hmbl $pypl $btc $dkng $coin $baba $btc $cei $tsla 
$cciv $spce $blnk $wkhs $solo $pola $nio $tsla $ipoe $alyi $appl $cciv $alpp https://t.co/ZQaGTmV3EK",2021-10-17T12:27:23.000Z,APPL,
42,496733942,1449713556081938437,"RT @900_pm: @ChiefSecyUP Sir,The website for marriage registration is not functioning properly.After entering the appl no &amp; password it doe…",2021-10-17T12:27:00.000Z,APPL,
43,496733942,1449713259817226242,"@ChiefSecyUP Sir,The website for marriage registration is not functioning properly.After entering the appl no &amp; password it does not open the filled form for uploading https://t.co/wCeVsEkxLX get it rectified ASAP.Thanks.",2021-10-17T12:25:50.000Z,APPL,
44,1244650839018541056,1449712240962252804,@gauchosace @WilloKojiro @BackWunna @appl_moi_sam @Neil_Adel @Axwl_ll Ahahahaha vous êtes fou c’est de la d3 handball mdrrrrr,2021-10-17T12:21:47.000Z,APPL,
45,1428732948023545863,1449710967131095048,j'ai la haine mes deux cousin qui s'appl comme ca tfou,2021-10-17T12:16:43.000Z,APPL,
46,2823211687,1449709223105859589,"RT @koziii: 今週~来週の決算発表予定(WL)2⃣
(10/17時点 finbox)

10/28 $AMZN $PRFT $RCL $ABMD $AVTR $RGEN $RMD $SYK $TFX $WST

10/29 $APPL $ABBV $APPS $CRS…",2021-10-17T12:09:47.000Z,APPL,
47,1381198903635234816,1449708741759311878,"RT @ADecouvir: Geek 🗞 Climat : la justice condamne l’État français à réparer « le préjudice écologique » ▶ https://t.co/Ixryj3aw0a

🎁 #Pour…",2021-10-17T12:07:52.000Z,APPL,
48,1267071620927107072,1449707294669815811,"RT @OffersForex: The largest Company in cloud mining
Get Bonus 30% ⬇️
https://t.co/htaQf9zreG

$cciv $spce $blnk $wkhs $solo $pola $nio $ts…",2021-10-17T12:02:07.000Z,APPL,
49,1155506513391357957,1449705396491456524,@Axwl_ll @gauchosace @BackWunna @appl_moi_sam @Neil_Adel https://t.co/7dGs285hQl,2021-10-17T11:54:35.000Z,APPL,
50,1242510628473966592,1449704448310317058,"The largest Company in cloud mining
Get Bonus 30% ⬇️
https://t.co/htaQf9zreG

$cciv $spce $blnk $wkhs $solo $pola $nio $tsla $ipoe $alyi $appl $cciv $alpp $novn $ctrm $pton $ayro $boxl $appl $enzc $atvk $tpii $idex $tspg $tsnp $opti $neca $hcmc $cbbt $dsgt $btc $jmia $plug https://t.co/AHRWBA8HVR",2021-10-17T11:50:49.000Z,APPL,
51,1442946373582786560,1449704074602024969,eatibg an appl,2021-10-17T11:49:20.000Z,APPL,
52,1199809269622824960,1449703154535256070,"Automatic Mining System Extra $BTC $ETH
The world's largest and most secure cloud mining site
Get Bonus 30% ⬇️
https://t.co/KiE41CYre9 

 $appl $enzc $alpp $novn $ctrm $pton $atvk $tpii $idex $tspg $alyi $appl $cciv $cbbt $boxl $tsnp $opti $neca $dsgt $btc $jmia $plug https://t.co/Ou3k89dkiT",2021-10-17T11:45:40.000Z,APPL,
53,982204732138663936,1449700640490409984,@Serpent_appl ВЫПЬЕМ 😭🕯,2021-10-17T11:35:41.000Z,APPL,
54,534166556,1449698544617676803,"RT @yuthconnect: 📌National Agricultural Marketing Council

- Supply Chain Officer 
https://t.co/jvtHtYJaEv 
- Risk &amp; Compliance Manager
htt…",2021-10-17T11:27:21.000Z,APPL,
55,1135787418,1449698192141033472,@TD_Investor $FXAIX $LMT $APPL,2021-10-17T11:25:57.000Z,APPL,
56,1442958525605494784,1449697973907120131,@izzukuuu mdrrrr mais kestu mbassine t la tu mparle d’einstein jte parle d’la vie dehors sans ton daron frr pas mettre 300€ dans un ensemble en un claquement de doigt ça s’appl pas être radin ou faire le rat sale tdb,2021-10-17T11:25:05.000Z,APPL,
57,1445463895242469377,1449697361748537348,"Automatic Mining System Extra $BTC $ETH $LTC
Join : https://t.co/4GKBkRbsHp

$cciv $spce $blnk $wkhs $solo $pola $nio $tsla $ipoe $ayro $hcmc $appl $enzc $alpp $novn $ctrm $pton $atvk $tpii $idex $tspg $alyi $appl $cciv $cbbt $boxl $tsnp $opti $neca $dsgt $btc $jmia $plug https://t.co/8JNZQnjuby",2021-10-17T11:22:39.000Z,APPL,
58,1199809269622824960,1449694408748720131,"Automatic Mining System Extra $BTC $ETH 
The world's largest and most secure cloud mining site
Get Bonus 30% ⬇️
https://t.co/KiE41CYre9 

$cciv $spce $blnk $wkhs $solo $pola $nio $tsla $ipoe $ayro $hcmc $appl $enzc $alpp $novn $ctrm $pton $atvk $tpii $idex $tspg $alyi $appl https://t.co/oRaH5FZka9",2021-10-17T11:10:55.000Z,APPL,
