,id,author_id,text,created_at,Keyword
39,1449511483180728321,50733021,"In case you missed it! The Call to Action Event, October, 21, is making national headlines! Momentum is building—it's time to shift the paradigm in education, workforce, and economic development! Read the full press release here: https://t.co/uXSphtJSDB #EducationWithPurpose https://t.co/IDPHACce6H",2021-10-16T23:04:02.000Z,YHOO
40,1449511187960549382,1068967117763022850,RT @7NewsSydney: As Sydney real estate prices continue to soar so does the competition. @samanthabrett reports. http://t.co/ZCRNFe2bak http…,2021-10-16T23:02:52.000Z,YHOO
41,1449511135678451716,1401258493324242948,RT @tigrayyouthntwk: Millions of Tigrayans are in dire conditions and many are dying from Ethiopia’s man-made famine. EU must act immediate…,2021-10-16T23:02:40.000Z,YHOO
42,1449510771877191685,1198553418954088448,RT @ThandekaMdlul10: Studying is not nice yhoo,2021-10-16T23:01:13.000Z,YHOO
43,1449509674210975752,49310504,RT @YahooNews: The two parties’ main war chests for the House total a combined $128 million — more than double the sum at this point in the…,2021-10-16T22:56:51.000Z,YHOO
44,1449508831046869000,1316415867396206594,RT @YahooFinance: A new 'megacycle' may send shares of this dirt-moving equipment maker up 25%: analyst https://t.co/FI05DFq0mj by @BrianSo…,2021-10-16T22:53:30.000Z,YHOO
45,1449508821840236546,1391128594793959425,RT @Brkte5: Millions of Tigrayans are in dire conditions and many are dying from Ethiopia's man-made famine. EU must act immediately to end…,2021-10-16T22:53:28.000Z,YHOO
46,1449508757487095814,1333760423015948288,Millions of Tigrayans are in dire conditions and many are dying from Ethiopia’s man-made famine. EU must act immediately to end the blockade and recognize the #TigrayGenocide. #EUActNow @luigidimaio @JosepBorrellF @Mariearenaps @EUSR_Weber @FMCastaldo https://t.co/DoNeHfn0Sx,2021-10-16T22:53:13.000Z,YHOO
47,1449507521677430784,19546277,Student loans: 'Landmark settlement' reached in lawsuit over Public Servant Forgiveness Program https://t.co/zLRS1zcpvy by @aarthiswami https://t.co/yrazAjLRsX,2021-10-16T22:48:18.000Z,YHOO
48,1449507361400393728,731706031,RT @YahooNews: The two parties’ main war chests for the House total a combined $128 million — more than double the sum at this point in the…,2021-10-16T22:47:40.000Z,YHOO
49,1449507313220571139,803782936457838593,RT @GezaTegaruTdf: Millions of Tigrayans are in dire conditions and many are dying from Ethiopia's man-made famine. EU must act immediately…,2021-10-16T22:47:28.000Z,YHOO
50,1449507018046251015,1265661930523353089,RT @YahooNews: The two parties’ main war chests for the House total a combined $128 million — more than double the sum at this point in the…,2021-10-16T22:46:18.000Z,YHOO
51,1449506993102807044,841691667602255872,RT @YahooNews: The two parties’ main war chests for the House total a combined $128 million — more than double the sum at this point in the…,2021-10-16T22:46:12.000Z,YHOO
52,1449506329618436096,587475293,RT @YahooNews: The two parties’ main war chests for the House total a combined $128 million — more than double the sum at this point in the…,2021-10-16T22:43:34.000Z,YHOO
53,1449506160063639554,1372812078713606145,Millions of Tigrayans are in dire conditions and many are dying from Ethiopia's man-made famine. EU must act immediately to end the blockade and recognize the #TigrayGenocide. #EUActNow @luigidimaio @JosepBorrellF @Mariearenaps @EUSR_Weber @FMCastaldo https://t.co/LjoQnEedF7,2021-10-16T22:42:53.000Z,YHOO
54,1449505755619602432,7309052,The two parties’ main war chests for the House total a combined $128 million — more than double the sum at this point in the 2020 cycle and far surpassing every other previous one. https://t.co/YNdIltFJyp,2021-10-16T22:41:17.000Z,YHOO
55,1449505024787329029,1347287372191379456,RT @Aron5419: Millions of Tigrayans are in dire conditions and many are dying from Ethiopia's man-made famine. EU must act immediately to e…,2021-10-16T22:38:23.000Z,YHOO
56,1449504659979255810,9376172,"RT @YahooNews: With a mixture of nervousness, resentment and, sometimes, relief, hundreds of thousands of New Yorkers finally got a dose of…",2021-10-16T22:36:56.000Z,YHOO
57,1449504216217751561,3378892390,where the hell is your nose?? yhoo no mahn https://t.co/QRoS5y4Dcv,2021-10-16T22:35:10.000Z,YHOO
58,1449503898637643776,1347287372191379456,RT @Liptonice2308: Millions of Tigrayans are in dire conditions and many are dying from Ethiopia's man-made famine. EU must act immediately…,2021-10-16T22:33:54.000Z,YHOO
59,1449503814533320706,2839975129,"RT @YahooNews: “Because of these men and women, we avoided a catastrophe, but their heroism came at a cost to you and your families.”  http…",2021-10-16T22:33:34.000Z,YHOO
60,1449503368053989382,1347287372191379456,RT @Brkte5: Millions of Tigrayans are in dire conditions and many are dying from Ethiopia's man-made famine. EU must act immediately to end…,2021-10-16T22:31:48.000Z,YHOO
61,1449502441972588545,2274970094,RT @YahooFinance: A new 'megacycle' may send shares of this dirt-moving equipment maker up 25%: analyst https://t.co/FI05DFq0mj by @BrianSo…,2021-10-16T22:28:07.000Z,YHOO
62,1449502180126433280,1378621459514413057,RT @LeulGebreanenya: Millions of Tigrayans are in dire conditions and many are dying from Ethiopia's man-made famine. EU must act immediate…,2021-10-16T22:27:04.000Z,YHOO
63,1449502099977474056,1378621459514413057,RT @Liptonice2308: Millions of Tigrayans are in dire conditions and many are dying from Ethiopia's man-made famine. EU must act immediately…,2021-10-16T22:26:45.000Z,YHOO
64,1449501903910440960,776225539459682306,"RT @drummike2012: WTF =&gt; Riders watched as a woman was raped on a SEPTA train but no one called 911, police say. https://t.co/WA4OZ1vyh3",2021-10-16T22:25:58.000Z,YHOO
65,1449501728705970176,1162870188196294656,"RT @YahooNews: While Trump remains the most powerful force in the party nine months after leaving office, he lost Virginia by 10 percentage…",2021-10-16T22:25:17.000Z,YHOO
66,1449501350304174080,34417665,RT @YahooFinance: A new 'megacycle' may send shares of this dirt-moving equipment maker up 25%: analyst https://t.co/FI05DFq0mj by @BrianSo…,2021-10-16T22:23:47.000Z,YHOO
67,1449501275490562049,1066629843561979904,RT @GezaTegaruTdf: Millions of Tigrayans are in dire conditions and many are dying from Ethiopia's man-made famine. EU must act immediately…,2021-10-16T22:23:29.000Z,YHOO
68,1449500128637714436,1431454928317280259,Millions of Tigrayans are in dire conditions and many are dying from Ethiopia's man-made famine. EU must act immediately to end the blockade and recognize the #TigrayGenocide. #EUActNow @luigidimaio @JosepBorrellF @Mariearenaps @EUSR_Weber @FMCastaldo https://t.co/POQSdfPtIg,2021-10-16T22:18:55.000Z,YHOO
69,1449499988271190017,3378892390,@HeartofLekiAunt nothing is sweeter than that baby yhoo no pressure for them too yeah no everything is beautiful 🥺,2021-10-16T22:18:22.000Z,YHOO
70,1449499811825262600,1219032025769881605,"RT @drummike2012: WTF =&gt; Riders watched as a woman was raped on a SEPTA train but no one called 911, police say. https://t.co/WA4OZ1vyh3",2021-10-16T22:17:40.000Z,YHOO
71,1449499595097067523,1342269343053225984,Millions of Tigrayans are in dire conditions and many are dying from Ethiopia's man-made famine. EU must act immediately to end the blockade and recognize the #TigrayGenocide. #EUActNow @luigidimaio @JosepBorrellF @Mariearenaps @EUSR_Weber @FMCastaldo https://t.co/UhthjOi1GS,2021-10-16T22:16:48.000Z,YHOO
72,1449499317526568965,922974936,"RT @YahooNews: With a mixture of nervousness, resentment and, sometimes, relief, hundreds of thousands of New Yorkers finally got a dose of…",2021-10-16T22:15:42.000Z,YHOO
73,1449498975166418947,1432126998101602305,RT @Yahoo: This garden flourishes in a taxi garage: https://t.co/0ltiNyHOZB https://t.co/Xc66Pq0qwr,2021-10-16T22:14:20.000Z,YHOO
74,1449498836154691591,434360613,"RT @YahooNews: With a mixture of nervousness, resentment and, sometimes, relief, hundreds of thousands of New Yorkers finally got a dose of…",2021-10-16T22:13:47.000Z,YHOO
75,1449498601940557826,1284184980,"RT @YahooNews: With a mixture of nervousness, resentment and, sometimes, relief, hundreds of thousands of New Yorkers finally got a dose of…",2021-10-16T22:12:51.000Z,YHOO
76,1449497926384984067,294467876,Maid is such a sad series yhoo😩😩😩am always in my feels when I watch it,2021-10-16T22:10:10.000Z,YHOO
77,1449497611673784320,1404533885967405061,RT @rebel_tigray: Millions of Tigrayans are in dire conditions and many are dying from Ethiopia's man-made famine. EU must act immediately…,2021-10-16T22:08:55.000Z,YHOO
78,1449497581843795968,751852736,RT @YahooFinance: A new 'megacycle' may send shares of this dirt-moving equipment maker up 25%: analyst https://t.co/FI05DFq0mj by @BrianSo…,2021-10-16T22:08:48.000Z,YHOO
79,1449497562512306183,1353494047395086336,RT @rebel_tigray: Millions of Tigrayans are in dire conditions and many are dying from Ethiopia's man-made famine. EU must act immediately…,2021-10-16T22:08:43.000Z,YHOO
80,1449497316877012995,1234929518680432643,@AdvKindness Yhoo okay 😏,2021-10-16T22:07:45.000Z,YHOO
81,1449497143115354114,1439616391515033605,"Video shows officer slamming a Black woman to the ground by her braids, which a witness said he tore out of her scalp https://t.co/5eKkrSsHcl via @Yhoo 
the JSOP may not use body cameras but witnesses had cellphones that take video.",2021-10-16T22:07:03.000Z,YHOO
82,1449496993777205249,385196256,RT @YahooFinance: A new 'megacycle' may send shares of this dirt-moving equipment maker up 25%: analyst https://t.co/FI05DFq0mj by @BrianSo…,2021-10-16T22:06:28.000Z,YHOO
83,1449496931890343937,1150427874110971904,RT @rebel_tigray: Millions of Tigrayans are in dire conditions and many are dying from Ethiopia's man-made famine. EU must act immediately…,2021-10-16T22:06:13.000Z,YHOO
84,1449496912495878147,1137570248532647936,RT @YahooFinance: A new 'megacycle' may send shares of this dirt-moving equipment maker up 25%: analyst https://t.co/FI05DFq0mj by @BrianSo…,2021-10-16T22:06:08.000Z,YHOO
