,id,author_id,text,created_at,Keyword,geo
33,1449767126831558659,1448106138826854406,RT @BitRides: Coming Soon...! #BitRides #BSC #BinanceSmartChain #Binance #BNB #Bitcoin #smartcontracts #Giveaway https://t.co/z6mF35JS7p,2021-10-17T15:59:53.000Z,bitcoin,
34,1449767126512832513,1164896810583941120,"RT @avogroovy: Let’s not do this please. I donated 0.0194 BTC ($1,182) on October 13 2020 16:40pm and I am saying FEMCO LIED about the Bitc…",2021-10-17T15:59:52.000Z,bitcoin,
35,1449767125615190017,1422137748027105282,"RT @Alyattes_ALYA: YOU CAN REGISTER ON NOV 1 . 

 #alya #alyattes #alyatoken #alyacare #cryptocurrency #btc  #eth #bitcoin  #ethereum #ICO…",2021-10-17T15:59:52.000Z,bitcoin,
36,1449767124545593349,1417128162748637185,"RT @InuKishu: #KISHUARMY 🐶🐶🐶 Lets show our appreciation to @binance and let them know that $KISHU would love to be on board 🙌🏼🙌🏼🙌🏼 

We wan…",2021-10-17T15:59:52.000Z,bitcoin,
37,1449767122263896064,1164541581312983040,"RT @MazeWandaX: Now Bitcoin Classic has been forked successfully! 

@bgh_bitcoin will participate in its global ecological construction unr…",2021-10-17T15:59:51.000Z,bitcoin,
38,1449767121009905666,1444278817502208000,🐳🚨 Bitcoin Whale Alert: [ TX: c6577c6654e0d01f612a760d81b9e68fb2faa950d9402f0b645a49e2edecb470 ]-[ ADDR: 3NYjgURLQUP2qhk25yVLtgYtnKPXYttApy ]-[ #BTC: 83.68101622 ]-[ BLOCK_DATE: 2021-10-17 17:33:14 ] #btc_whale_alert #bitcoin,2021-10-17T15:59:51.000Z,bitcoin,
39,1449767120758214661,1310926130065453057,"@LovecoinProject Lovecoin is a great project. For Bitcoin $100,000 is possible",2021-10-17T15:59:51.000Z,bitcoin,
40,1449767119244124163,1322139310028709889,my favorite thing about Bitcoin guys is having sex with his wife,2021-10-17T15:59:51.000Z,bitcoin,
41,1449767119151931392,1438013380275490818,"RT @BadBabyDinosNFT: #SaveTheDate 

Monday
October 25th
2pm EST

.....Public Drop 😎

LETS GOOOO 🚀📈

#NFT #NFTCommunity #NFTGiveaway #NFTdro…",2021-10-17T15:59:51.000Z,bitcoin,
42,1449767117843226625,1334799964531200002,"@awn_90 @NorthmanTrader Join us now let's help you trade your Stocks, Commodities, Bitcoin and other crypto currencies.

We are dedicated and reliable as our investors are our utmost priority. 
Let's help you grow financially.

✅ Message Me Now 
👇👇👇👇👇
@AustinW09802163
https://t.co/1KWSOdoAZr",2021-10-17T15:59:50.000Z,bitcoin,
43,1449767116551254018,1240520328184344577,"RT @ashwsbreal: If #Bitcoin Breaks $64k today,

I will gift $1000 in  #Bitcoin to a lucky follower who ❤️ this tweet.",2021-10-17T15:59:50.000Z,bitcoin,
44,1449767114848493572,442586759,I hope so bro #Bitcoin https://t.co/Mw4kZ2MlOe,2021-10-17T15:59:50.000Z,bitcoin,
45,1449767112726220800,1364656201607315460,$Sait $Saita $Shib $Leash $Bone $Arch $ArchA #ArchArmy $ADA $XRP $BTC $ETH $BNB #BNB #BSC #Saitama #SaitamaToken #SaitamaWolfPack #FOMO #SaitaMask #BeAWolf #Crypto #CryptoCurrency #Bitcoin #Ethereum #ArchWing #ArchAngel https://t.co/XJENdz4ZzE,2021-10-17T15:59:49.000Z,bitcoin,
46,1449767112076144642,1578954330,"RT @BitcoinAudible: Calculating #Bitcoin's Value as insurance against fiat structural collapse with @FossGregfoss 

Read by @TheGuySwann, L…",2021-10-17T15:59:49.000Z,bitcoin,
47,1449767111908200455,1447924037313761284,"RT @AirdropStario: 💧 Soft Cash Airdrop 💧

🏆 Task:          ➕ Up to 50,000 SOFT (~$2.5)

👨‍👩‍👧 Referral:   ➕ 12500 SOFT (~$0.6)

🔛 Airdrop L…",2021-10-17T15:59:49.000Z,bitcoin,
